Inf;Jogador;Nação;Clube;Posição;Expira;Data de Início do Contrato;Bravura;Agressividade;(Tendência) para Saídas da Baliza;Lançamentos;Idade;Posição;Pé Preferido;Nação de Nascimento;Altura;Região Nascimento;Data Nasc.;Melhor Pos;Susceptibilidade a Lesões;Emprestado Por;Último Clube;2ª Nac;Selecção Nacional;Unique ID;Técnica;Desarme;Marcação de Penáltis;Passe;Marcação;Lançamentos Longos;Remates de Longe;Cabeceamento;Livres;Primeiro Toque;Finalização;Finta;Cruzamentos;Cantos;Força;Resistência;Velocidade;Aptidão Física;Impulsão;Equilíbrio;Agilidade;Aceleração;Índice de Trabalho;Visão de Jogo;Posicionamento;Trabalho de Equipa;Sem Bola;Liderança;Imprevisibilidade;Determinação;Decisões;Concentração;Compostura;Antecipação;Saídas a Punhos;Reflexos;Pontapé;Um Para Um;Jogo de Mãos;Comunicação;Alcance Aéreo
;Lucas Melim;BRA;Vasco da Gama;D (D);30/6/2027;1/7/2024;8;15;1;1;17;D (D);Pé Direito;Brasil;1,68 m;;3/3/2008;D (D);Acima da Média;;-;;;2000463749;7;10;5;7;5;6;4;7;2;7;6;6;11;7;2;7;12;14;7;7;8;13;7;7;9;7;6;5;5;10;14;10;7;5;1;4;1;1;2;1;1
;Lucas Moura;BRA;São Paulo;MO (DEC), PL (C);31/12/2026;1/1/2024;8-14;9-13;1-5;3-7;33;MO (DEC), PL (C);Pé Direito;Brasil;1,72 m;São Paulo;13/8/1992;MO (C);Alta;;Spurs;;;19073564;9-13;7-13;9-13;10-14;4-8;6-10;6-10;13-19;5-11;13-17;9-15;13-17;10-14;9-13;8-12;8-12;12-18;10-14;6-10;7-13;12-16;12-16;12-16;10-16;3-9;13-19;11-15;5-9;11-15;14-18;6-10;9-13;12-16;11-15;1-3;1-5;1-3;1-5;1-5;3-7;1-6
;Lucas Oliveira;BRA;Mirassol;D (C);31/12/2026;1/7/2025;10-14;11-15;1-4;1;29;D (C);Pé Direito;Brasil;1,87 m;Rio de Janeiro;2/2/1996;D (C);Média;;Ceará;;;19367739;8-14;10-16;6-10;8-12;16-20;7-11;6-12;9-15;5-9;6-10;5-9;6-10;6-10;6-10;10-14;10-16;7-13;11-15;15-19;10-14;9-13;9-13;11-17;5-11;11-15;9-15;7-11;8-12;12-16;8-12;9-15;12-16;8-12;10-14;1-6;1-4;1-5;4-8;1-5;1-2;1-4
;Lucas Paquetá;BRA;Flamengo;MD, M (C), MO (EC);31/12/2030;29/12/2025;14-17;12-14;1-3;2-4;28;MD, M (C), MO (EC);Pé Esquerdo;Brasil;1,80 m;Rio de Janeiro;27/8/1997;M (C);Média;;West Ham;Portugal;A;19226741;17;11-14;14-16;13;9-11;6-8;12;12;10-13;16;12;15;11;11-13;13-15;13;13;13;11;12-15;14;13;8-10;14;8-11;9;12-14;10-12;17;13;10;9-11;13;12-14;1-3;1-2;1-3;1-3;1-3;4-6;1-3
;Lucas Piton;ITA;Vasco da Gama;D/DA/M (E);31/12/2028;28/2/2024;10;11;1;3;25;D/DA/M (E);Somente Pé Esquerdo;Brasil;1,75 m;São Paulo;9/10/2000;D (E);Acima da Média;;Corinthians;Brasil;;19380037;14;12;10;13;10;13;10;8;9;14;9;14;16;14;10;13;15;13;8;12;14;15;13;13;12;13;13;10;13;13;13;12;12;12;1;1;1;1;1;2;3
;Lucas Ramon;BRA;São Paulo;D/DA (D);31/12/2027;29/12/2025;11-15;7-13;1-3;2-6;31;D/DA (D);Pé Direito;Brasil;1,78 m;Minas Gerais;7/3/1994;D (D);Média;;Mirassol;;;19255930;9-13;10-14;2-6;10-16;9-15;12-16;10-14;8-12;9-13;10-14;8-12;9-13;10-16;4-10;9-13;12-16;11-15;11-17;6-12;12-16;10-14;12-18;12-16;6-10;14-18;10-14;7-11;6-12;3-9;9-13;8-12;8-14;9-13;10-14;1-5;2-6;1-2;1-5;1-5;1-5;1-3
;Lucas Ronier;BRA;Coritiba;MO (DC);31/12/2027;19/6/2024;-;-;-;-;21;MO (DC);Pé Preferido Desconhecido;Brasil;1,65 m;Paraná;26/11/2004;MO (D);Média;;-;;;2000166672;-;-;-;4-10;-;-;-;-;-;5-13;4-10;13-19;3-9;-;-;-;8-13;-;-;-;15-20;6-12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Lucas Silva;BRA;Cruzeiro;MD, M (C);31/12/2027;31/12/2024;14;13;1;2;32;MD, M (C);Pé Direito;Brasil;1,82 m;Goiás;16/2/1993;MD;Alta;;Grêmio;;;19152917;14;13;13;15;12;8;14;10;12;14;9;12;11;11;10;10;10;13;11;12;11;10;13;14;14;15;10;14;11;13;14;12;15;16;3;3;4;1;2;2;2
;Lucas Silva;BRA;Vitória;MO (C), PL (C);31/12/2027;1/7/2025;12-16;10-16;1-5;1-3;26;MO (C), PL (C);Pé Direito;Brasil;1,82 m;Mato Grosso do Sul;27/8/1999;PL (C);Abaixo da Média;Seoul;Vitória;;;19362985;9-13;6-10;9-13;9-15;4-10;6-10;11-15;8-12;8-12;9-13;11-15;8-12;6-12;3-9;10-14;11-15;11-15;10-16;6-12;12-16;9-13;12-18;11-15;9-13;12-16;10-14;8-12;7-13;8-14;11-15;9-13;9-15;10-14;9-13;1-4;1-5;1;1-5;1-6;1-5;1-3
;Lucas Souza;BRA;Atlético Mineiro;D/DA (D), M (C);31/12/2027;1/5/2025;-;-;-;-;19;D/DA (D), M (C);Pé Preferido Desconhecido;Brasil;1,86 m;São Paulo;30/3/2006;D (D);Média;;RB Bragantino II;;;2000270856;-;8-14;-;-;6-13;-;-;-;-;8-17;-;-;11-18;-;6-15;-;9-15;-;-;-;-;12-19;-;-;5-11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Lucas Taverna;BRA;Coritiba;D/DA (D);31/12/2026;3/2/2024;-;-;-;-;18;D/DA (D);Pé Preferido Desconhecido;Brasil;1,68 m;;8/5/2007;D (D);Acima da Média;;-;;;2000380244;-;10-19;-;-;2-10;-;-;-;-;13-20;-;-;7-13;-;7-14;-;10-19;-;-;-;-;10-16;-;-;4-13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Lucas Veríssimo;BRA;Santos;D (C);31/12/2028;29/12/2025;15-19;15-19;1-3;1-3;30;D (C);Pé Direito;Brasil;1,88 m;São Paulo;7/7/1995;D (C);Muito Alta;;Al-Duhail;;;19249631;9-15;10-16;7-11;10-14;15-19;7-11;6-12;11-17;3-7;7-11;7-11;8-12;7-11;4-8;11-15;10-16;10-16;9-13;15-19;8-12;8-12;8-12;10-16;4-10;12-16;9-15;6-10;12-16;7-11;13-17;12-18;14-18;8-12;11-15;1-5;1-3;1-4;1-5;1-5;1-2;1-4
;Lucas Vieira;BRA;Flamengo;MD, M (C);31/12/2027;1/11/2024;-;-;-;-;18;MD, M (C);Pé Preferido Desconhecido;Brasil;1,81 m;Ceará;8/3/2007;MD;Alta;;-;;;2000520574;-;5-12;-;7-16;-;-;4-12;-;-;10-16;-;-;-;-;3-9;-;-;-;-;-;-;-;6-14;14-20;-;-;-;-;5-11;-;-;-;-;-;-;-;-;-;-;-;-
;Lucas Yan;BRA;Santos;M (EC), MO (C);28/2/2029;23/11/2024;-;-;-;-;19;M (EC), MO (C);Pé Preferido Desconhecido;Brasil;1,62 m;;18/1/2006;M (C);Alta;;-;;;2000229212;12-19;-;-;10-16;-;-;9-16;-;-;8-16;5-14;-;-;-;-;-;-;-;-;-;-;-;-;5-12;-;-;-;-;8-14;-;-;-;6-14;-;-;-;-;-;-;-;-
For;Lysander Lucas;BOL;São Paulo;D (C), MD;31/12/2026;29/12/2025;-;-;-;-;16;D (C), MD;Pé Preferido Desconhecido;Bolívia;1,78 m;;13/1/2009;D (C);Alta;;-;Brasil;S-20;2000456348;-;4-12;-;-;8-14;-;-;5-13;-;2-10;-;-;-;-;1-9;-;-;-;6-12;-;-;-;-;-;11-20;-;-;-;-;14-20;-;-;-;-;-;-;-;-;-;-;-
;Lucca;BRA;Grêmio;PL (C);4/2/2029;29/12/2025;-;-;-;-;17;PL (C);Pé Preferido Desconhecido;Brasil;1,82 m;;1/7/2008;PL (C);Abaixo da Média;;-;;;2000519455;-;-;-;5-15;-;-;-;5-13;-;7-13;11-19;-;-;-;9-15;-;8-16;-;2-12;-;-;10-20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Lucca;BRA;São Paulo;MO (DE);30/4/2028;1/5/2025;-;-;-;-;18;MO (DE);Pé Preferido Desconhecido;Brasil;1,75 m;São Paulo;14/6/2007;MO (E);Alta;;-;;;2000272456;-;-;-;8-14;-;-;-;-;-;7-15;7-16;6-15;7-13;-;-;-;5-12;-;-;-;6-15;10-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Lucca Caramico;BRA;Corinthians;M (C);31/5/2028;3/7/2025;-;-;-;-;16;M (C);Pé Preferido Desconhecido;Brasil;1,77 m;;7/2/2009;M (C);Média;;-;;;2000482384;-;7-13;-;12-20;-;-;1-9;-;-;9-19;-;-;-;-;7-17;-;-;-;-;-;-;-;7-17;10-16;-;-;-;-;1-8;-;-;-;-;-;-;-;-;-;-;-;-
;Luccas Ramon;BRA;Palmeiras;D (C);30/9/2028;8/10/2025;-;-;-;-;17;D (C);Pé Preferido Desconhecido;Brasil;1,90 m;Paraíba;26/9/2008;D (C);Alta;;Retrô;;;2000447962;-;5-15;-;-;13-20;-;-;4-14;-;1-7;-;-;-;-;1-9;-;-;-;14-20;-;-;-;-;-;11-17;-;-;-;-;1-8;-;-;-;-;-;-;-;-;-;-;-
;Luciano;BRA;São Paulo;MO (C), PL (C);31/12/2028;7/12/2022;8-12;10-14;1-4;1-7;32;MO (C), PL (C);Pé Esquerdo;Brasil;1,81 m;Goiás;18/5/1993;PL (C);Alta;;Grêmio;;;19202502;9-15;5-9;12-16;14-18;3-7;7-13;9-15;11-15;11-15;11-17;12-16;11-15;10-14;7-11;8-14;8-14;12-16;11-15;8-12;10-14;12-16;14-18;9-15;11-15;4-8;9-13;11-15;9-13;10-14;11-17;5-11;9-13;12-18;11-15;1-3;1-5;1-4;1-3;2-6;1-6;1-5
;Luciano Jr;BRA;São Paulo;GR;31/7/2026;13/8/2024;-;-;3-9;4-13;19;GR;Pé Preferido Desconhecido;Brasil;1,92 m;Santa Catarina;25/7/2006;GR;Acima da Média;;-;;;2000214126;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10-16;7-15;9-16;-;4-11;-;9-15
;Luciano Juba;BRA;EC Bahia;D/DA/M (E), MO (EC);31/12/2029;29/12/2025;9-13;11-15;1-4;1-5;26;D/DA/M (E), MO (EC);Somente Pé Esquerdo;Brasil;1,76 m;Pernambuco;29/8/1999;MO (E);Abaixo da Média;;Sport Recife;;;19408285;9-15;11-15;10-14;13-17;7-11;8-14;10-16;7-11;11-15;11-17;11-15;10-14;13-17;8-12;8-14;11-17;11-15;12-16;4-8;10-14;11-15;13-17;9-15;11-15;10-14;10-14;11-15;8-12;9-13;11-17;8-14;8-12;10-16;11-15;1-4;1-5;1-5;1;1-5;1-6;1-4
;Pablo Lúcio;BRA;Flamengo;MD, M (C);31/3/2030;15/4/2025;-;-;-;-;18;MD, M (C);Pé Preferido Desconhecido;Brasil;1,88 m;Rio de Janeiro;12/4/2007;MD;Abaixo da Média;;-;;S-20;2000372620;-;14-20;-;7-16;-;-;10-18;-;-;7-13;-;-;-;-;6-12;-;-;-;-;-;-;-;9-17;11-18;-;-;-;-;3-9;-;-;-;-;-;-;-;-;-;-;-;-
;Lucyan;BRA;São Paulo;D/DA/M/MO (D);30/6/2028;21/8/2025;-;-;-;-;19;D/DA/M/MO (D);Pé Preferido Desconhecido;Brasil;1,78 m;Mato Grosso;26/2/2006;DA (D);Abaixo da Média;;EC Bahia;;;2000328930;-;-;-;12-19;-;-;-;-;-;9-18;9-15;4-12;9-16;-;-;-;10-16;-;-;-;8-16;12-19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Lucyo;BRA;Botafogo;D/DA (E);19/11/2028;19/11/2024;-;-;-;-;19;D/DA (E);Pé Preferido Desconhecido;Brasil;1,70 m;;15/3/2006;D (E);Média;;-;;;2000219252;-;7-13;-;-;3-10;-;-;-;-;8-17;-;-;10-17;-;6-15;-;10-16;-;-;-;-;12-19;-;-;4-10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Luighi;BRA;Palmeiras;MO (E), PL (C);31/12/2029;2/5/2025;-;-;-;-;19;MO (E), PL (C);Pé Preferido Desconhecido;Brasil;1,82 m;São Paulo;30/4/2006;PL (C);Alta;;-;;;2000315290;-;-;-;3-12;-;-;-;11-18;-;8-14;5-12;-;-;-;8-14;-;13-20;-;9-15;-;-;6-15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Luis Arthur;BRA;Palmeiras;M (EC), MO (C);28/2/2027;1/7/2024;-;-;-;-;19;M (EC), MO (C);Pé Preferido Desconhecido;Brasil;1,76 m;Alagoas;20/2/2006;M (E);Alta;;-;;;2000430159;9-18;-;-;5-13;-;-;7-16;-;-;5-12;9-15;-;-;-;-;-;-;-;-;-;-;-;-;3-12;-;-;-;-;10-17;-;-;-;1-6;-;-;-;-;-;-;-;-
;Luís Aucélio;BRA;Vitória;MD, M (C);31/12/2026;2/8/2025;-;-;-;-;19;MD, M (C);Pé Preferido Desconhecido;Brasil;1,82 m;Distrito Federal;18/5/2006;MD;Alta;;Flamengo;;;2000337351;-;5-12;-;10-16;-;-;9-16;-;-;7-15;-;-;-;-;1-8;-;-;-;-;-;-;-;10-17;1-6;-;-;-;-;1-7;-;-;-;-;-;-;-;-;-;-;-;-
;Luis Eduardo;BRA;Grêmio;D (C);31/12/2028;15/6/2025;-;-;-;-;17;D (C);Pé Preferido Desconhecido;Brasil;1,88 m;Piauí;16/1/2008;D (C);Média;;-;;S-20;2000440037;-;10-20;-;-;8-16;-;-;10-20;-;10-18;-;-;-;-;13-20;-;-;-;9-17;-;-;-;-;-;4-14;-;-;-;-;14-20;-;-;-;-;-;-;-;-;-;-;-
;Luís Fabiano;BRA;Vitória;D (C);31/12/2026;1/6/2025;-;-;-;-;18;D (C);Pé Preferido Desconhecido;Brasil;1,91 m;Pernambuco;29/5/2007;D (C);Abaixo da Média;;-;;;2000501192;-;5-12;-;-;8-14;-;-;6-13;-;1-6;-;-;-;-;1-9;-;-;-;12-18;-;-;-;-;-;11-20;-;-;-;-;1-9;-;-;-;-;-;-;-;-;-;-;-
;Luís Felipe;BRA;Vasco da Gama;MO (D);31/7/2027;1/8/2024;8;12;3;1;17;MO (D);Pé Direito;Brasil;1,69 m;;14/6/2008;MO (D);Média;;-;;;2000463753;10;7;2;12;8;7;7;7;10;11;8;10;11;11;5;10;12;10;7;9;14;12;8;11;8;11;12;7;10;7;9;8;10;11;2;2;2;1;1;2;3
;Luís Felipy;BRA;SC Internacional;D/DA (D);31/12/2027;29/12/2025;-;-;-;-;19;D/DA (D);Pé Preferido Desconhecido;Brasil;1,78 m;;12/3/2006;D (D);Acima da Média;;Dom Bosco;;;2000273157;-;1-10;-;-;9-16;-;-;-;-;4-11;-;-;6-14;-;1-7;-;5-14;-;-;-;-;8-16;-;-;8-14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Luís Gustavo;BRA;RB Bragantino;MO (E), PL (C);31/1/2028;5/3/2025;-;-;-;-;17;MO (E), PL (C);Pé Preferido Desconhecido;Brasil;1,83 m;;7/2/2008;MO (E);Acima da Média;;-;;;2000378249;-;-;-;6-12;-;-;-;-;-;11-19;2-12;10-16;5-11;-;-;-;10-20;-;-;-;9-15;9-15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Luís Gustavo;BRA;Atlético Mineiro;D/DA (D), MO (DE);31/12/2027;1/8/2025;-;-;-;-;19;D/DA (D), MO (DE);Pé Preferido Desconhecido;Brasil;1,74 m;;24/3/2006;MO (D);Acima da Média;;Sporting CP;;;2000291902;-;-;-;3-9;-;-;-;-;-;11-18;3-12;9-15;4-10;-;-;-;10-19;-;-;-;10-16;8-14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Luís Pacheco;BRA;Palmeiras;MD, M (C);30/9/2028;7/10/2025;-;-;-;-;17;MD, M (C);Pé Preferido Desconhecido;Brasil;1,81 m;Rio Grande do Sul;2/2/2008;MD;Abaixo da Média;;-;;;2000408356;-;3-13;-;7-15;-;-;3-13;-;-;3-11;-;-;-;-;2-10;-;-;-;-;-;-;-;10-20;2-12;-;-;-;-;11-19;-;-;-;-;-;-;-;-;-;-;-;-
;Luis Paulo;BRA;Corinthians;GR;24/2/2028;24/2/2025;-;-;11-17;10-19;19;GR;Pé Preferido Desconhecido;Brasil;1,97 m;;10/1/2006;GR;Acima da Média;;Votoraty;;;2000318435;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1-8;9-15;5-13;-;13-20;-;11-17
;Luis Sabóia;BRA;Palmeiras;D/DA (D);31/1/2028;2/10/2025;-;-;-;-;18;D/DA (D);Pé Preferido Desconhecido;Brasil;1,74 m;São Paulo;28/3/2007;D (D);Abaixo da Média;;-;;;2000527014;-;13-20;-;-;5-13;-;-;-;-;10-17;-;-;7-13;-;6-13;-;13-20;-;-;-;-;11-17;-;-;1-9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Luiz Araújo;BRA;Flamengo;MO (DE);31/12/2027;1/7/2023;9-13;8-12;1-5;1-4;29;MO (DE);Pé Esquerdo;Brasil;1,75 m;São Paulo;2/6/1996;MO (D);Acima da Média;;Atlanta United;;;19215572;12-16;7-11;10-14;9-13;6-12;3-9;11-15;6-10;9-13;9-15;9-13;15-19;10-14;11-17;4-10;11-15;12-16;10-14;5-11;10-14;15-19;10-14;13-17;11-15;4-8;13-17;13-17;6-10;12-18;6-12;9-13;10-16;8-14;12-16;1-4;1-4;3-7;1-6;1-3;1-3;1-5
;Luiz Eduardo;BRA;Corinthians;M (C);7/4/2029;18/4/2024;-;-;-;-;18;M (C);Pé Preferido Desconhecido;Brasil;1,73 m;;26/6/2007;M (C);Abaixo da Média;;Água Santa;;;2000308415;-;5-13;-;9-18;-;-;6-12;-;-;8-14;-;-;-;-;5-11;-;-;-;-;-;-;-;5-11;8-16;-;-;-;-;3-12;-;-;-;-;-;-;-;-;-;-;-;-
;Luiz Felipe;BRA;SC Internacional;D/DA (E);31/12/2027;12/2/2025;-;-;-;-;19;D/DA (E);Pé Preferido Desconhecido;Brasil;1,75 m;;19/5/2006;D (E);Alta;;Londrina;;;2000285884;-;7-16;-;-;10-17;-;-;-;-;5-12;-;-;9-17;-;1-8;-;6-15;-;-;-;-;9-17;-;-;6-12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Luiz Felipe;BRA;Coritiba;D/DA (D);31/12/2026;10/9/2025;-;-;-;-;19;D/DA (D);Pé Preferido Desconhecido;Brasil;1,72 m;Santa Catarina;5/5/2006;D (D);Acima da Média;;Criciúma;;;2000331917;-;11-17;-;-;1-8;-;-;-;-;10-19;-;-;12-19;-;5-14;-;6-12;-;-;-;-;13-20;-;-;3-9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Luiz Fernando;BRA;Palmeiras;GR;14/4/2028;15/4/2025;-;-;6-12;6-16;17;GR;Pé Preferido Desconhecido;Brasil;1,84 m;São Paulo;24/4/2008;GR;Média;;-;;;2000408343;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3-13;5-11;3-11;-;14-20;-;5-11
Prt;Luiz Fernando;BRA;São Paulo;D/DA/M/MO (D);30/1/2027;21/5/2024;-;-;-;-;19;D/DA/M/MO (D);Pé Preferido Desconhecido;Brasil;1,75 m;;9/12/2006;DA/M/MO (D);Média;Ibrachina;-;;;2000492906;-;-;-;6-14;-;-;-;-;-;5-12;7-13;4-10;5-13;-;-;-;5-14;-;-;-;6-12;9-17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Luiz Fernando;BRA;Mirassol;D (C);17/9/2026;30/12/2024;-;-;-;-;17;D (C);Pé Preferido Desconhecido;Brasil;1,88 m;;7/2/2008;D (C);Abaixo da Média;;-;;;2000323738;-;8-18;-;-;9-17;-;-;11-20;-;5-13;-;-;-;-;4-12;-;-;-;9-17;-;-;-;-;-;5-15;-;-;-;-;12-20;-;-;-;-;-;-;-;-;-;-;-
;Luiz Gustavo;BRA;EC Bahia;D (C);31/12/2027;22/8/2025;11-14;11;2-5;1-5;19;D (C);Pé Esquerdo;Brasil;1,88 m;;12/4/2006;D (C);Acima da Média;;Vasco da Gama;;;2000219322;9;11;5-9;9;11;6-10;5-9;10;1-2;9;3-6;5-9;7-10;2-5;15;10;11;12-15;11;12-15;8-12;11;12;7-10;12;11;6-10;9;4-7;18;9;6-9;9;10;1-3;1-4;1-4;1-2;3-6;1-4;2-5
;Luiz Gustavo;BRA;Athletico-PR;D (C), MD, M (C);31/12/2026;29/12/2025;13-19;13-17;1-5;2-6;38;D (C), MD, M (C);Pé Esquerdo;Brasil;1,86 m;São Paulo;23/7/1987;MD;Abaixo da Média;;São Paulo;Alemanha;;19016523;10-14;14-20;6-10;10-14;11-15;4-8;9-13;10-16;1-6;12-16;5-11;6-10;7-11;2-6;13-17;6-10;7-13;15-19;12-16;12-18;7-11;7-11;6-10;8-14;10-16;13-19;10-14;13-17;5-9;18-20;10-14;12-16;15-19;12-16;1-3;1-5;1-3;2-6;1-5;1-5;1-5
;Luiz Peu;BRA;Atlético Mineiro;MD;31/12/2028;15/11/2025;-;-;-;-;17;MD;Pé Preferido Desconhecido;Brasil;1,67 m;Minas Gerais;15/12/2008;MD;Acima da Média;;-;;;2000513081;-;6-14;-;10-20;-;-;4-10;-;-;8-14;-;-;-;-;3-9;-;-;-;-;-;-;-;11-17;9-17;-;-;-;-;1-7;-;-;-;-;-;-;-;-;-;-;-;-
;Luiz Sá;BRA;Palmeiras;GR;31/3/2027;1/4/2024;-;-;8-17;12-19;18;GR;Pé Preferido Desconhecido;Brasil;1,90 m;São Paulo;1/3/2007;GR;Média;;-;Itália;;2000331314;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1-8;6-15;8-14;-;9-15;-;7-16
;Luizão;BRA;Chapecoense;MO (D), PL (C);31/12/2026;29/12/2025;-;-;-;-;19;MO (D), PL (C);Pé Preferido Desconhecido;Brasil;1,85 m;;27/1/2006;PL (C);Acima da Média;Azuriz;Maringá;;;2000442118;-;-;-;11-17;-;-;-;4-11;-;9-17;11-20;-;-;-;1-8;-;5-12;-;8-14;-;-;11-17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Luizinho;BRA;Corinthians;MO (D);11/12/2027;11/12/2024;-;-;-;-;18;MO (D);Pé Preferido Desconhecido;Brasil;1,75 m;;13/7/2007;MO (D);Média;;-;;;2000524076;-;-;-;6-12;-;-;-;-;-;11-18;3-12;9-15;6-12;-;-;-;10-19;-;-;-;12-18;9-15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Lukas Zuccarello;BRA;Vasco da Gama;MO (C), PL (C);31/12/2028;2/1/2025;10;8;3;3;19;MO (C), PL (C);Pé Direito;Brasil;1,75 m;;2/12/2006;MO (C);Média;;Sport Recife;Itália;;2000264142;13;3;8;10;3;8;8;8;9;13;11;13;11;10;7;10;12;12;8;11;14;12;9;11;7;12;12;8;13;12;10;10;11;10;1;1;2;1;4;3;4
;Lyan;BRA;EC Bahia;MO (DE);31/12/2028;29/12/2025;-;-;-;-;16;MO (DE);Pé Preferido Desconhecido;Brasil;1,79 m;;17/2/2009;MO (E);Média;;-;;;2000490707;-;-;-;3-11;-;-;-;-;-;3-13;4-12;11-19;2-10;-;-;-;8-14;-;-;-;12-20;4-12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Les;Lyanco;BRA;Atlético Mineiro;D (C);31/12/2029;12/8/2025;17-20;18-20;1-4;1-6;28;D (C);Pé Direito;Brasil;1,87 m;Espírito Santo;1/2/1997;D (C);Alta;;Southampton;Sérvia;;19236273;7-13;12-16;8-12;12-16;10-14;10-16;1-7;12-16;4-8;10-16;5-9;8-12;4-8;1-4;12-18;10-16;11-15;16-20;10-14;12-16;11-15;13-17;12-18;8-12;11-15;14-18;4-8;13-17;7-11;16-20;7-13;8-12;12-18;12-16;1-5;1-4;1-5;1;3-7;1-6;2-6
;Kgomotso Madiba;RSA;Fluminense;MO (C), PL (C);N/A;29/12/2025;-;-;-;-;18;MO (C), PL (C);Pé Preferido Desconhecido;África do Sul;1,67 m;Limpopo;14/12/2007;PL (C);Média;;Stars of Africa;;S-20;2000420965;-;-;-;4-10;-;-;-;8-17;-;12-19;7-16;-;-;-;1-8;-;9-18;-;1-9;-;-;10-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Maicon;BRA;Coritiba;D (C);31/12/2026;29/12/2025;16-18;14;2-4;1-3;37;D (C);Pé Direito;Brasil;1,90 m;São Paulo;14/9/1988;D (C);Alta;;Vasco da Gama;Portugal;;19017908;12;14;11-13;13;12;9-11;12-14;14;14-16;10;7-9;6-8;7-10;5-8;16;10;9;15-18;15;12-14;8-10;9;12;12-14;14;13;6-8;15;5-8;16;11;8-11;13;12;2-4;3-5;1-3;1-2;2-5;1-2;2-4
;Maik;BRA;São Paulo;D/DA (D), MD, M (C);31/5/2028;1/6/2025;9-15;6-11;1-4;1-5;20;D/DA (D), MD, M (C);Pé Direito;Brasil;1,75 m;São Paulo;3/1/2005;D (D);Acima da Média;;-;;;2000206422;9-14;8-13;8-13;9-14;9-16;7-14;8-13;6-11;9-15;7-14;6-12;11-16;6-11;10-17;3-10;10-15;12-17;8-13;4-11;8-14;15-20;9-14;10-15;10-15;8-14;11-16;12-17;3-8;7-14;8-15;11-16;9-16;6-13;12-17;1-6;1-5;3-8;1-6;1-3;1-6;1-4
Les;Mancha;BRA;Chapecoense;D/DA/M/MO (E);30/4/2026;20/3/2024;7-11;12-16;1-5;1-3;24;D/DA/M/MO (E);Pé Esquerdo;Brasil;1,80 m;Santa Catarina;13/2/2001;D (E);Acima da Média;;-;Itália;;19364445;10-16;6-12;9-13;7-11;11-15;2-6;7-13;3-9;7-11;7-11;8-12;8-12;8-12;10-14;7-11;11-17;9-15;13-17;10-14;8-12;13-17;11-15;9-15;4-10;9-13;5-11;10-14;7-11;9-13;5-9;13-19;8-12;7-11;9-13;1-7;1-3;2-6;1-5;1-3;1;1-3
;Marçal;BRA;Botafogo;D/DA (E);31/12/2026;10/12/2025;12-16;10-14;1-4;1-4;36;D/DA (E);Somente Pé Esquerdo;Brasil;1,78 m;São Paulo;19/2/1989;D (E);Alta;;Wolves;;;19051992;11-15;11-15;11-15;8-12;11-17;7-13;6-10;10-14;9-13;8-14;7-11;12-16;9-13;8-14;8-14;11-15;11-15;7-11;8-14;9-13;12-16;9-13;13-17;11-15;9-13;13-17;13-17;9-13;11-17;10-16;11-15;10-16;8-14;15-19;1-4;1-4;1-5;1-6;1-3;1-3;1-3
